Program	Code	Mnemonic	Summary	Severity	HelpLink
C/C++ Resource Compiler	RC2164		unexpected value in RCDATA	Error	http://msdn.microsoft.com/en-us/library/hsfyk407.aspx
C/C++ Resource Compiler	RC2165		string not found in DLGINCLUDE statement	Error	http://msdn.microsoft.com/en-us/library/45attskt.aspx
C/C++ Resource Compiler	RC2167		unrecognized VERSIONINFO field; BEGIN or comma expected	Error	http://msdn.microsoft.com/en-us/library/974be3ss.aspx
C/C++ Resource Compiler	RC2169		resource file filename is not in 2.03 format	Error	http://msdn.microsoft.com/en-us/library/kt03a0wy.aspx
C/C++ Resource Compiler	RC2170		bitmap file filename is not in 3.00 format	Error	http://msdn.microsoft.com/en-us/library/d4ad7d2t.aspx
C/C++ Resource Compiler	RC2171		unknown DIB header format	Error	http://msdn.microsoft.com/en-us/library/2888scfs.aspx
C/C++ Resource Compiler	RC2175		resource file filename is not in 3.00 format	Error	http://msdn.microsoft.com/en-us/library/s49y5a1h.aspx
C/C++ Resource Compiler	RC4002		too many actual parameters for macro 'identifier'	Warning	http://msdn.microsoft.com/en-us/library/844zsh0w.aspx
C/C++ Resource Compiler	RC4005		'identifier' : macro redefinition	Warning	http://msdn.microsoft.com/en-us/library/8hhdcbsa.aspx
C/C++ Resource Compiler	RC4093		unescaped newline in character constant in inactive code	Warning	http://msdn.microsoft.com/en-us/library/0c2x045d.aspx
C/C++ Resource Compiler	RC4214		Codepage not valid : ignored	Warning	http://msdn.microsoft.com/en-us/library/zw4d5y0y.aspx
C/C++ Resource Compiler	RW1004		Unexpected end of file	Fatal Error	http://msdn.microsoft.com/en-us/library/f3ez0t6f.aspx
C/C++ Resource Compiler	RW1009		Error creating resource-name	Fatal Error	http://msdn.microsoft.com/en-us/library/4h5kfeze.aspx
C/C++ Resource Compiler	RW1016		RC terminating after preprocessor errors	Fatal Error	http://msdn.microsoft.com/en-us/library/c26a6xwb.aspx
C/C++ Resource Compiler	RW1023		I/O error writing file, drive full	Fatal Error	http://msdn.microsoft.com/en-us/library/w801226w.aspx
C/C++ Resource Compiler	RW1025		Out of far heap memory	Fatal Error	http://msdn.microsoft.com/en-us/library/d1zttzk4.aspx
C/C++ Resource Compiler	RW1030		Output Error	Fatal Error	http://msdn.microsoft.com/en-us/library/566ta718.aspx
C/C++ Resource Compiler	RW2001		Invalid directive in preprocessed RC file	Error	http://msdn.microsoft.com/en-us/library/9z2kf18k.aspx
C/C++ Resource Compiler	RW2002		Parsing error	Error	http://msdn.microsoft.com/en-us/library/2tecz7k6.aspx
C/C++ Resource Compiler	RW2003		Generation Error	Error	http://msdn.microsoft.com/en-us/library/x5f35yaf.aspx
C/C++ Resource Compiler	RW4001		.EXE processing options (/L /M /P /T /K /E /31 or /30)	Warning	http://msdn.microsoft.com/en-us/library/a9ckby8k.aspx
C/C++ Resource Compiler	RW4003		SHIFT or CONTROL used without VIRTKEY	Warning	http://msdn.microsoft.com/en-us/library/3fy2744z.aspx
C/C++ Resource Compiler	RW4004		ASCII character not equivalent to virtual key code	Warning	http://msdn.microsoft.com/en-us/library/w2f05xy8.aspx
